43,1,1,1,16,2
34,3,2,5,13,3
26,1,1,1,9,2
22,1,2,1,9,2
48,1,2,1,19,2
22,1,2,1,13,2
58,1,2,1,23,3
28,1,2,1,16,2
32,2,2,5,12,2
27,2,0,2,13,2
35,2,0,5,14,2
21,2,1,5,11,2
39,3,0,5,9,3
17,2,0,2,4,2
48,1,2,1,15,4
26,3,1,3,14,4
52,1,1,1,17,4
58,2,0,5,4.8,2
51,2,2,5,3,2
57,2,0,5,2.8,2
61,2,0,2,6,3
53,2,0,2,2.4,2
52,2,0,2,6.7,2
42,5,0,5,16,4
31,1,1,1,6,3
38,1,2,1,5,3
73,2,0,2,7.5,4
40,2,0,2,5.9,3
31,2,2,2,43,3
40,1,2,1,3,3
32,2,2,2,6,3
49,3,0,5,10,3
38,3,0,5,8.5,3
43,3,0,5,10,3
30,2,0,2,6,3
28,1,2,1,5,2
42,3,0,5,13,3
39,2,0,2,6,3
40,3,0,5,5.6,3
30,2,1,2,7,3
70,1,2,1,19,5
52,3,0,5,5,3
42,1,1,1,6,3
55,1,2,1,7,3
23,2,0,2,13,3
41,2,1,2,25,5
27,3,0,3,11,3
57,1,2,1,9,3
44,3,0,5,17,3
44,1,2,1,8,3
38,3,0,5,12,3
26,1,1,1,5,2
28,1,2,1,4,3
55,1,1,1,6,3
46,1,1,1,7,3
33,1,2,1,7,3
22,1,1,1,32,3
32,1,1,1,12,3
28,1,1,1,7,2
56,1,2,1,7,3
22,2,0,2,9,3
19,2,2,2,8,3
33,1,2,1,6,2
56,1,2,1,4,3
24,3,1,3,28,3
58,1,2,1,5,3
24,3,0,5,38,3
34,2,2,2,12,3
22,3,0,5,30,3
25,2,1,2,18,4
20,2,0,2,14,3
22,3,0,5,25,3
17,1,2,1,3,3
31,2,1,2,8,3
44,3,0,5,7,3
50,2,0,2,5,3
43,3,0,5,9,3
23,2,0,2,6.9,3
22,1,1,1,26,3
41,1,2,1,1,3
18,1,1,1,9,3
42,3,0,3,7,3
21,1,2,1,10.5,3
39,1,2,1,8,3
25,1,1,1,15,2
58,1,2,1,15,3
43,2,0,5,7,2
41,1,1,1,7,3
56,1,1,1,7,3
32,1,1,1,4,3
39,1,1,1,9,4
33,3,0,5,7.5,3
35,3,0,5,14,3
68,3,0,3,7,3
24,3,0,5,27,3
46,3,0,5,13.5,3
44,3,0,5,8.5,3
43,3,0,5,14,3
39,3,0,5,25,3
22,2,1,2,19,3
32,3,0,5,10,3
40,2,0,2,7,3
45,2,0,5,7.3,2
48,3,0,5,23,3
31,3,0,5,20,3
31,3,0,5,17,3
34,3,0,5,15,3
39,3,0,5,8.4,3
41,3,0,5,10,3
33,3,0,5,9.2,3
27,3,0,5,7.6,3
38,3,0,5,7,3
35,3,0,5,16.7,3
46,3,0,5,14,3
48,3,0,5,14,3
38,3,0,5,6,3
40,3,0,5,11,3
46,3,0,5,8.5,3
28,2,0,5,11,2
37,3,0,5,9.6,3
31,3,0,5,9.3,3
35,3,0,5,47,3
38,2,0,5,5,2
40,1,1,1,4,3
46,3,0,4,34,3
56,3,0,5,10,3
46,3,0,5,13,3
42,2,1,5,7,2
45,2,1,5,7.5,2
37,3,0,5,4,3
51,2,0,5,3,2
45,3,0,5,8.8,3
45,3,0,5,11,3
48,3,1,3,5,3
34,1,2,1,3,2
34,1,2,1,5,2
45,1,2,1,10,3
36,1,2,1,3.7,2
36,1,1,1,3,2
42,2,0,5,3,2
39,2,0,5,4.5,2
42,3,2,3,3,3
41,1,1,1,12,2
45,3,1,3,4,3
38,3,0,5,5,3
41,1,1,1,3,2
24,1,2,1,5,2
47,1,1,1,13,3
47,1,1,1,3.5,2
49,3,0,5,8,3
54,3,0,3,9,3
44,3,0,5,6,3
24,3,0,5,6,3
66,2,1,5,3.9,2
53,1,1,1,4,2
50,2,0,5,4.6,2
25,1,2,1,5,2
27,1,1,1,8.7,2
48,3,2,4,3,3
35,3,2,3,3,3
37,2,0,5,16,2
38,2,1,5,5.3,2
53,1,2,1,3,2
57,3,0,5,10,3
39,3,0,5,13,3
39,2,0,5,3,2
35,1,1,1,6,2
41,2,0,5,3.9,2
50,1,2,1,4,2
37,1,2,1,3,3
56,1,1,1,7,2
34,3,0,5,6,3
51,1,1,1,4,2
42,2,0,2,10,2
41,2,0,4,5,2
38,3,2,3,6,3
43,1,2,1,3.6,2
46,2,0,2,5.8,2
40,2,0,2,2.5,2
50,2,1,2,4.5,2
34,3,1,4,4,3
49,2,0,5,4,2
24,2,1,2,21,2
38,2,1,5,7,2
49,3,0,5,11,3
43,3,0,5,38,3
49,1,1,1,2,2
52,1,2,1,20,3
40,2,2,5,6.5,2
46,2,2,5,4.6,2
57,1,1,1,3.5,2
35,1,1,1,4.8,2
34,2,0,5,3.5,2
42,2,0,2,7,3
27,2,1,2,4,2
45,3,0,5,11,3
46,1,2,1,4,2
32,1,2,1,3.6,2
42,2,0,2,5,2
38,3,1,5,3,3
32,2,0,3,6.5,2
33,2,0,2,6,3
39,3,0,5,36,3
29,2,2,2,18,2
40,2,0,5,20,2
41,3,0,5,17,3
47,3,0,5,15,3
31,1,0,1,4,2
40,3,0,5,5.4,3
38,2,0,3,3.4,2
56,3,0,5,5.7,3
41,2,0,5,2.5,2
39,3,0,5,8,3
50,2,0,5,5,2
36,26,1,5,25,3
45,27,0,5,40,4
52,28,1,1,7,3
28,28,2,1,8,4
60,28,2,1,6,4
